,ID,vaccinated,recovered,infected,dead,curr_location,color,num_infected
302,445,False,False,False,False,"(17, 21)",green,0
303,84,False,False,False,False,"(21, 21)",green,0
304,274,False,False,False,False,"(17, 17)",green,0
305,301,False,False,False,False,"(17, 17)",green,0
306,431,False,False,False,False,"(17, 19)",green,0
307,412,False,False,False,False,"(17, 19)",green,0
308,451,False,False,False,False,"(17, 19)",green,0
309,314,False,False,False,False,"(13, 9)",green,0
310,194,False,False,False,False,"(13, 8)",green,0
311,257,False,False,False,False,"(5, 11)",green,0
312,419,False,False,False,False,"(8, 16)",green,0
313,160,False,False,False,False,"(23, 9)",green,0
314,470,False,False,False,False,"(15, 28)",green,0
315,9,False,False,False,False,"(11, 25)",green,0
316,471,False,False,False,False,"(11, 27)",green,0
317,260,False,False,False,False,"(4, 19)",green,0
318,111,False,False,False,False,"(4, 19)",green,0
319,291,False,False,False,False,"(0, 5)",green,0
320,246,False,False,False,False,"(4, 17)",green,0
321,459,False,False,False,False,"(8, 23)",green,0
322,121,True,True,False,False,"(14, 18)",green,1
323,312,False,False,False,False,"(14, 21)",green,0
324,115,False,False,False,False,"(6, 24)",green,0
325,173,False,False,False,False,"(19, 19)",green,0
326,338,False,False,False,False,"(16, 19)",green,0
327,252,False,False,False,False,"(16, 19)",green,0
328,434,False,False,False,False,"(23, 23)",green,0
329,126,False,False,False,False,"(19, 15)",green,0
330,422,False,False,False,False,"(23, 18)",green,0
331,485,False,False,False,False,"(24, 22)",green,0
332,201,True,True,False,False,"(26, 19)",green,1
333,437,False,False,False,False,"(20, 21)",green,0
334,428,False,False,False,False,"(20, 21)",green,0
335,239,True,True,False,False,"(24, 21)",green,1
336,430,False,False,False,False,"(24, 21)",green,0
337,349,False,False,False,False,"(24, 21)",green,0
338,241,False,False,False,False,"(17, 23)",green,0
339,85,False,False,False,False,"(21, 10)",green,0
340,408,False,False,False,False,"(21, 10)",green,0
341,406,False,False,False,False,"(21, 7)",green,0
342,16,True,True,False,False,"(17, 2)",green,1
343,229,False,False,False,False,"(5, 23)",green,0
344,400,False,False,False,False,"(5, 23)",green,0
345,103,True,True,False,False,"(5, 23)",green,1
346,24,False,False,False,False,"(3, 27)",green,0
347,233,False,False,False,False,"(5, 27)",green,0
348,429,False,False,False,False,"(13, 12)",green,0
349,112,False,False,False,False,"(1, 16)",green,0
350,384,False,False,False,False,"(1, 16)",green,0
351,476,False,False,False,False,"(22, 12)",green,0
352,420,False,False,False,False,"(18, 12)",green,0
353,25,False,False,False,False,"(22, 4)",green,0
354,217,False,False,False,False,"(14, 12)",green,0
355,156,False,False,False,False,"(22, 8)",green,0
356,296,False,False,False,False,"(26, 1)",green,0
357,404,False,False,False,False,"(26, 0)",green,0
358,86,False,False,False,False,"(21, 4)",green,0
359,352,False,False,False,False,"(21, 4)",green,0
360,242,False,False,False,False,"(25, 3)",green,0
361,250,False,False,False,False,"(25, 3)",green,0
362,299,False,False,False,False,"(25, 3)",green,0
363,320,False,False,False,False,"(25, 11)",green,0
364,322,False,False,False,False,"(25, 11)",green,0
365,75,False,False,False,False,"(24, 14)",green,0
366,416,False,False,False,False,"(28, 12)",green,0
367,124,False,False,False,False,"(25, 14)",green,0
368,423,False,False,False,False,"(25, 14)",green,0
369,305,False,False,False,False,"(11, 19)",green,0
370,81,False,False,False,False,"(11, 19)",green,0
371,6,False,False,False,False,"(15, 27)",green,0
372,155,False,False,False,False,"(15, 26)",green,0
373,89,False,False,False,False,"(19, 21)",green,0
374,263,False,False,False,False,"(12, 17)",green,0
375,379,False,False,False,False,"(26, 23)",green,0
376,83,False,False,False,False,"(26, 16)",green,0
377,30,False,False,False,False,"(18, 4)",green,0
378,454,False,False,False,False,"(24, 20)",green,0
379,88,False,False,False,False,"(21, 20)",green,0
380,452,False,False,False,False,"(19, 18)",green,0
381,270,True,True,False,False,"(14, 22)",green,1
382,358,False,False,False,False,"(29, 18)",green,0
383,127,False,False,False,False,"(25, 18)",green,0
384,448,False,False,False,False,"(19, 17)",green,0
385,138,False,False,False,False,"(19, 17)",green,0
386,433,False,False,False,False,"(19, 13)",green,0
387,211,False,False,False,False,"(24, 9)",green,0
388,95,False,False,False,False,"(24, 13)",green,0
389,331,False,False,False,False,"(22, 9)",green,0
390,63,False,False,False,False,"(22, 9)",green,0
391,481,False,False,False,False,"(24, 16)",green,0
392,327,False,False,False,False,"(24, 19)",green,0
393,294,False,False,False,False,"(21, 15)",green,0
394,363,False,False,False,False,"(23, 13)",green,0
395,76,False,False,False,False,"(26, 4)",green,0
396,67,True,True,False,False,"(26, 4)",green,1
397,210,False,False,False,False,"(20, 18)",green,0
398,230,False,False,False,False,"(20, 18)",green,0
399,464,False,False,False,False,"(24, 18)",green,0
400,141,True,True,False,False,"(13, 6)",green,1
401,354,False,False,False,False,"(9, 29)",green,0
402,185,False,False,False,False,"(9, 29)",green,0
403,311,False,False,False,False,"(24, 23)",green,0
404,7,False,False,False,False,"(25, 19)",green,0
405,23,False,False,False,False,"(22, 22)",green,0
406,161,False,False,False,False,"(22, 25)",green,0
407,378,False,False,False,False,"(22, 23)",green,0
408,61,False,False,False,False,"(18, 22)",green,0
409,79,False,False,False,False,"(21, 19)",green,0
410,403,False,False,False,False,"(9, 23)",green,0
411,449,False,False,False,False,"(21, 11)",green,0
412,59,True,True,False,False,"(14, 13)",green,1
413,261,False,False,False,False,"(24, 11)",green,0
414,255,False,False,False,False,"(24, 3)",green,0
415,288,False,False,False,False,"(24, 3)",green,0
416,56,False,False,False,False,"(24, 7)",green,0
417,450,True,True,False,False,"(10, 26)",green,1
418,96,True,True,False,False,"(10, 24)",green,1
419,199,False,False,False,False,"(13, 24)",green,0
420,483,False,False,False,False,"(13, 24)",green,0
421,149,True,True,False,False,"(14, 23)",green,1
422,178,True,True,False,False,"(8, 25)",green,1
423,91,False,False,False,False,"(8, 25)",green,0
424,107,False,False,False,False,"(4, 29)",green,0
425,180,False,False,False,False,"(24, 10)",green,0
426,414,False,False,False,False,"(17, 6)",green,0
427,224,True,True,False,False,"(16, 18)",green,1
428,33,False,False,False,False,"(15, 21)",green,0
429,146,True,True,False,False,"(4, 10)",green,1
430,5,True,False,False,False,"(26, 21)",green,0
431,287,False,False,False,False,"(24, 27)",green,0
432,105,False,False,False,False,"(27, 28)",green,0
433,480,False,False,False,False,"(29, 28)",green,0
434,369,False,False,False,False,"(24, 24)",green,0
435,455,False,False,False,False,"(20, 3)",green,0
436,64,False,False,False,False,"(20, 3)",green,0
437,272,False,False,False,False,"(13, 16)",green,0
438,15,False,False,False,False,"(15, 22)",green,0
439,196,False,False,False,False,"(11, 26)",green,0
440,493,True,True,False,False,"(22, 24)",green,1
441,486,True,True,False,False,"(20, 9)",green,1
442,3,True,False,False,False,"(6, 19)",green,0
443,157,False,False,False,False,"(6, 19)",green,0
444,381,False,False,False,False,"(11, 5)",green,0
445,150,False,False,False,False,"(10, 1)",green,0
446,134,False,False,False,False,"(2, 12)",green,0
447,439,False,False,False,False,"(5, 24)",green,0
448,373,False,False,False,False,"(10, 27)",green,0
449,122,False,False,False,False,"(23, 1)",green,0
450,279,False,False,False,False,"(13, 7)",green,0
451,60,False,False,False,False,"(17, 5)",green,0
452,165,False,False,False,False,"(17, 5)",green,0
453,342,False,False,False,False,"(13, 3)",green,0
454,364,False,False,False,False,"(6, 22)",green,0
455,461,False,False,False,False,"(2, 20)",green,0
456,128,False,False,False,False,"(2, 28)",green,0
457,266,False,False,False,False,"(6, 23)",green,0
458,402,False,False,False,False,"(26, 20)",green,0
459,73,False,False,False,False,"(14, 3)",green,0
460,206,False,False,False,False,"(5, 7)",green,0
461,465,True,True,False,False,"(0, 20)",green,1
462,500,True,True,False,False,"(0, 24)",green,1
463,462,False,False,False,False,"(23, 6)",green,0
464,151,False,False,False,False,"(25, 17)",green,0
465,254,False,False,False,False,"(27, 18)",green,0
466,473,False,False,False,False,"(23, 20)",green,0
467,11,False,False,False,False,"(17, 29)",green,0
468,332,False,False,False,False,"(8, 29)",green,0
469,293,False,False,False,False,"(24, 17)",green,0
470,51,False,False,False,False,"(24, 17)",green,0
471,189,False,False,False,False,"(28, 5)",green,0
472,392,False,False,False,False,"(27, 1)",green,0
473,466,False,False,False,False,"(16, 13)",green,0
474,190,False,False,False,False,"(1, 13)",green,0
475,221,False,False,False,False,"(23, 12)",green,0
476,148,False,False,False,False,"(15, 0)",green,0
477,460,False,False,False,False,"(24, 12)",green,0
478,42,False,False,False,False,"(25, 12)",green,0
479,457,False,False,False,False,"(24, 4)",green,0
480,220,False,False,False,False,"(9, 4)",green,0
481,92,False,False,False,False,"(20, 22)",green,0
482,317,False,False,False,False,"(23, 0)",green,0
483,366,False,False,False,False,"(11, 2)",green,0
484,458,False,False,False,False,"(26, 10)",green,0
485,382,True,True,False,False,"(0, 3)",green,1
486,49,False,False,False,False,"(16, 23)",green,0
487,494,False,False,False,True,"(28, 15)",orange,46
488,426,False,False,False,False,"(26, 17)",green,0
489,113,False,False,False,False,"(14, 25)",green,0
490,307,False,False,False,False,"(20, 29)",green,0
491,394,False,False,False,False,"(16, 3)",green,0
492,192,False,False,False,False,"(19, 28)",green,0
493,176,False,False,False,False,"(29, 23)",green,0
494,77,False,False,False,False,"(29, 21)",green,0
495,54,False,False,False,False,"(2, 27)",green,0
496,47,False,False,False,False,"(23, 25)",green,0
497,487,True,True,False,False,"(20, 27)",green,1
498,204,False,False,False,False,"(29, 25)",green,0
499,32,False,False,False,False,"(25, 21)",green,0
